Ratings,Comment,Reviews
5,Best in this budget,"This is an amazing phone for the price. For someone coming from a pure Android background, migrating data would take a little time, and the battery backup may be quite less for the first 1-2 days. Once it is all set, I felt that the phone gives a decent battery backup. The backup with the ~1800mAh battery on this phone is somewhat comparable to that of an Android with twice the capacity.Camera is amazing for my use, as the lighting and colour tone are Natural, close to what we would see with...READ MORE"
5,Just wow!,"I switched from iPhone 8 to iPhone SE instead of going for iPhone 11 since SE comes with same power and great camera with a device size I can easily use and hold in my single hand. I got this delivered within one day of being available in India and it’s just great. I am a big fan of iOS and I’m deep into the Apple ecosystem with my iPad, MacBook, AirPods and an old iPod and I’m not disappointed here too. To those of you who are wondering how is it different from iPhone 8 since it practically ...READ MORE"
5,Terrific,"This is my first iPhone. And after using it for 6 continuous days the difference between my previous Sony XZS Android and this iPhone is easily noticeable.  The camera is better in every way. The only thing I miss about my previous phone is the 960 frame/sec super slow motion recording. Performance is way too better than android. This is fast, very very fast. If your eyes are not glued with the screen the battery life is ok. In fact this is the only issue with this phone. This one fits in my ...READ MORE"
5,Perfect product!,Finally most awaited first iPhone came within 3 days of order iPhone SE in one line A powerful performance in compact design and affordable ratesFirst iPhone in life where you compare each and every functionality with your previous android phone.Pros * Powerful chip at affordable price * Suitable who want to back to having experience of compact screen phone without bazzels.* Powerful camera experience with A13 Bionic chip image processing power* My personally favourite I always pref...READ MORE
5,Just wow!,Most amazing camera in iphone 👌 that is my personal ask I'm Finally buy my First i phone and that latest processor and All new things amazed you it's sooo Handy and enjoyable to Use. And beat other I phones now so enjoyed it.READ MORE
5,Awesome,"Brilliant performance everything is best if you compatible with small screen but battery is average , premium looks sound quality awesome handy phone camera quality ❤️❤️❤️Thanks flipkart.READ MORE"
3,Does the job,"Writing this review after around 1 week of use.Updating this review after a further 2 weeks of use.Initially, there was some heating on the phone, but on further use that problem has disappeared. Got to explore the camera a bit more and found it to be very good, the stability on the video is also good.Pros -      1. Good Camera Quality. Image quality is very good. Pictures are sharp. Good performance in bokeh mode.      2. Good performance. The phone has no lags so far, it is very smoo...READ MORE"
4,Go for it without any hesitation.,"Honest advice  :  Don't watch any tech reviewer's videos before buying this beast.I purchased this product on 6th June,2020 and here is my honest review :1. Device looks small but the way it works is truly amazing.2. if you are switching from ~6"" screen , it is going to be troublesome for a while.3. 1821  mah battery . 0 to 100% charging time is around 130 minutes. Fast charging/wireless charging is supported but fast charger is not included in box.4. Gaming Experience is amazing BUT p...READ MORE"
5,Mind-blowing purchase,"This is a beast. Smaller yet powerful. Sleek design and a Beauty.I will give straight reason for:Why to buy?1. If you want an iPhone2. If this is your first one3. If you want a small screen phone just for working purpose no entertainment4. If you have another phone as backup5. If you have other apple products and you want to pair this up as your latest purchase.6. If you have a decent 42k to spend without any second thought.Why not to buy?1. Battery drain, and low battery capacity...READ MORE"
4,Very Good,Got it yesterday 11 June ordered on 30may seller shipped on 7 June What’s happening Flipkart ? Coming to the phone. I switched from my old Se .CAMERA: it’s just Awesome in every way but those portraits lighting effects are of no use obviously mostly they won’t be used by anyone BATTERY: it’s just average it only remains for 6 to 8 hours of moderate usage DISPLAY: coming from four inch screen to 4.7 I feel like it’s huge and fair enough ( I always prefer compact phones ) Touch ID : it’s...READ MORE
5,Brilliant,For ppl who prefer small displays this is the ryt choice neat n clean  top notch performance ......FOR THOSE WHO R CONCERNED ABOUT BATTERY This has 1821mAh battery but combined with a13 chip efficency is top notch . Use 10W charger which comes with ipad or buy separately within 45 mins phone charger from 0-80% The 5w included in box is waste good for nothing. Switch off optimised battery charging under battery health settings so 80-100% will b charged quickly.I use social media apps l...READ MORE
5,Awesome,"I jumped from old SE to the new SE.the screen to body sized ratio is perfect for usage for a medium size palm. The highlight of this product is it’s elegance and sleek design. Looks so good in white colour. Performance is well packed with well coordinated GPU and CPU. If u are using bezel less phones then u might not consider it. But if u have decided to buy it then this product will bring a huge smile on your face in terms of speed, CAMERA, looks, iOS ecosystem and longevity of this devic...READ MORE"
5,Good phone for the price,"Some might say overpriced in India, but below are the PROS and CONS after 3 days of usage:Pros:1. Blazing fast processor. Runs everything thrown at it without a stutter.2. Very good single camera for daylight photography. Night time is good but not great.3. Optimal screen size for a phone for one hand use.4. Brilliant looks5. Battery life is one day when used like a phone. Watch various youtube videos to increase battery life. Optimal use of battery saver mode and screen brightness can...READ MORE"
5,Super!,"My first iPhone and very happy with it. Slick and gorgeous design with perfect compact mobile. Performance is so amazing ,display softness more than 5 *. Little bit battery issues for fast drains like need to charge once in a 12 hours. May be this will solve out in next update. Definitely worth to buy than other brands.READ MORE"
4,Value-for-money,This is the first iPhone I hv bought .. It’s bit diff for me using this first first as for so many years I hv been using android.. but I am actually liking it .. The camera omg it’s really awesome .. like it feels classy using this .. Battery is also as of now good enough .. I am writing this review after using it for 40 days.. if anyone is thinking of buying this pls go for it .. Thanks.READ MORE
5,Terrific,"One of the best handsets, very easy to carry & handle. Exceptional performance & amazing display, however battery is the only concern. It consumes more battery when you use internet, especially streaming videos and also while taking pictures. Otherwise everything thing is perfect. People who don’t like to carry big handsets on pocket can definitely go for this. But remember if you play more games or if u r always on internet you might need to carry a fast charger.READ MORE"
5,Super!,"After using this Device as my daily driver for over a month i can say that , It’s inbuilt AI and Machine Learning is so good that it manages all my things by itself, and even after having a small battery of 1800 MAH, it performs all day with some juice left, which is impressive. Awesome Camera, amazing Performance thanks to A13 Bionic. Suggestion go for 128GB it will help you in long run. Overall a very good and nice product.READ MORE"
5,Must buy!,"Very nice phone. Actually it's my first iPhone so I was very excited. Nd I'm happy with this phone.Nice phone for gaming, battery backup is not that much for gaming but I suggest buy one good powerbank or fast charger. If u have small fingers then it's best device for u.READ MORE"
5,Brilliant,"Very handy and comfortable to hold. Best phone to buy if you want sleek design, powerfull processor, beautiful camera and that's fits in your pocket. I didn't hesitate while buying this phone instead of oneplus 8. Afterall its your choice whether you want a phone or a tab sized phone.P.S.- it's not that small.READ MORE"
5,Simply awesome,I really love to use ios😍..Apple is my Favourite brand 🔥... I really love this phone. It was easy to hold and It was very fast processing mobile. In Future I will always purchase Apple mobile😍 Thank You Apple and Flipkart.READ MORE
5,Highly recommended,best compact phone i ever have.It has pretty good camera and performance.I have iphone 11pro but now i fall in love with this phone.Best phone👍👍.Go for it if u love small size phone👍👍👍READ MORE
5,Great product,Honestly best package from apple. Super handy. I don't like big phones. This phone is perfect for me and would definately recommend to everybody. If you compare antutu and geekbench scores with of iphone 11; this easily beats the iphone 11.READ MORE
4,Good choice,Very good phone for regular usage camera is outstanding with A13 boinic chip. Value for money set. Battery is not that much perfect but over all a good and handy smartphone i had ever seen.READ MORE
4,Very Good,Update : I’m getting close to 7 hrs screen on time on single charge. Of course without any games. Everything is good except battery and Night camera capabilities.Performance is top notchI’m using Motorola power delivery charger with usb c to lightning cable to fast charge it.Brought motorola usb c power delivery charger for my iPhone SE 2020I’m using this along with Amazonbasics usb c to lightening cable.Its awesome and following are the charging stats :15 min 0 to 30%27 min 0 to 50...READ MORE
4,Value-for-money,As always compact and handy ... with good image stability 4K gives amazing experience Battery capacity is little poor .. it’s worth buying on this budget..4/5 my ratingREAD MORE
5,Highly recommended,"Best phone for those using Iphone 6,6s,7,8And best camera and best portrait mode with A13 Bio chip, Very smooth Touch and Best features with value of money.READ MORE"
5,Terrific,"My first iphone ......,I just switched my vivo S1 pro to iphone SE 2 2020 and I would like to say something about this iphone ..It's amazing .Those guys who want a cute small and handy phone so just go for this iphone. 🤘🤘🤘❤️READ MORE"
4,Value-for-money,Battery will give good performance for a normal userI suggest another variant for heavy usersCam quality is good in day light conditions Performance is very good with A13 Bionic chipSmall in size and don’t expect a screen size like MI or one plus full screen mobilesREAD MORE
5,Highly recommended,Each and every Paisa you is worthyCamera section is a great upgrade Performance is a beastIt’s just a old design but still amazing design to hold in hand.I upgraded from old SE and satisfied to the coreREAD MORE
5,Brilliant,So fast as light  classy premium look  at affordable price thank you flipkart for easy deliveryREAD MORE
4,Good choice,"ProsClassy performance , sensitive touch , good sound quality , beautiful design , compact and comfortable,Good quality Camera, Battery backup is normal.ConsPhone is overheating this is something not expected from APPLE Bit disappointing.Selfi photo click flips automatically so sometimes photos are weird. Wish there is a setting not to flip before foto click.READ MORE"
5,Perfect product!,"Speed is Awesome , high quality Camera with portrait mode , more handy than big screen mobiles, Premium look & design , sound quality is boom , very happy After purchase thisREAD MORE"
4,Wonderful,"Well, the phone is small and looks nice. It's not for people who loves bigger ones. It's basically for those people who don't use their phones for everything.It's fast.design is cool, sleek and beautiful. You will need a back cover for sure if you want to keep up it's beauty. P:)battery life - not so good. voice clarity is fine.I am not a gamer neither a photographer.Basically it;s a premium phone under budget so that you can say it loud - "" Hey! I own an Apple device"". If somebody is ...READ MORE"
5,Perfect product!,"This Phone is Simply Brilliant.The fastest mobile processor from Apple, A13 bionic chip can tackle any task without breaking a sweat. The CLASSIC Design is the reason to buy this phone as it is so easy for one hand operation. Camera performance and Battery backup has been improved significantly over the predecessor. Definetely a Value for your Buck.READ MORE"
5,Worth every penny,Best model if you wish to enter the Apple ecosystem. Flawless product and seamless experience. I love this phone.READ MORE
5,Best in the market!,"Hey iPhone lovers. If you like small phone you'll love it. A13 performed like a beast. Performance is top notch. If your budget tight, then go for it. You never disappoint after use it. And Apple iPhone security is best.READ MORE"
5,Classy product,One of Best phone in 2020..Excellent Camera and Performance..battery also good without Games..Thanks u Flipkart Best offer and fastest delivery .READ MORE
1,Terrible product,It’s not good product ...it’s cost is more quality is not good every time is hangout..battery consumption is more at least half day also not get in ...finally my best suggestion is choose another one...READ MORE
5,Terrific purchase,Excellent phone from Apple... Almost same like iPhone 7 and 8 with latest processor. I can feel the speed very much compared to the iPhone 6s. It’s awesome budget phone from iPhone family.READ MORE
4,Wonderful,"Performance is top notch, battery is full day easily after disabling background app Refresh ( it doesn’t effect any functionality) and some other tweaks. Camera is fantastic overall value for money if you get this in offer.READ MORE"
4,Very Good,"Amazing phone, loved it, only issue is gets hot too much and too early. Otherwise a very good buyREAD MORE"
5,Great product,"Excellent phone , flawless performance The massive upgrade for the user who are using the iphone SE ( 1 gen) just like meREAD MORE"
5,Super!,"This is good phone for someone who never used iphone yet but of someone using/used any one of iphone 6 , 7 and/or 8 then there is no much difference between the features except performance. With the provided features the price is too high for this phone. If someone is looking for upgrading then I would strongly suggest you to go for iPhone XS or later versions. This is completely my own opinion and please read other reviews as well before making a decision to purchase this product.READ MORE"
5,Super!Little Champ is here!,"In one word its Superb, Ignore negetive comments regarding Battery life,Its stays easyly a day for Ofiicial work Purpose.Build quality,Camera,Speaker Out put(Earpiece and Phone speaker)is top notch and apple airpod is just cherry on top..i have switched from 6 inch display to this phone not at all any issue.super smooth ios a big thumps up! overall its a fantastic gadget.READ MORE"
4,Worth the money,Can be surely preferred as your first iphone Value for money Some what battery is not sufficient but as we already know about the batteries of iphone Camera is up to mark but there is insufficiency of night mode wideangle mode but that’s ok its not a big deal Display performance is good enough Overall lookup is impressive and off course attractive Speakers are mind blowing dual speaker setup which is quite loud compared to others At this price range this phone is best if you are intere...READ MORE
5,Perfecto !,"1 Week after using the phone I am Simply Loving it!I did a lot of research and was confused in Iphone XR, SE 2020 and One plus 8If you are Ok with older design/big bezels or looking for GREAT Camera in budget phone or moving from Android to IOS, this phone is best for you.Camera(Portrait in selfie mode), Build quality, A13 Bionic Chip, Compact design, latest OS(software support for at least 4 years) is simply Bang On!Downs :Night mode Camera quality is not good.Battery is not the best...READ MORE"
4,Really Nice,"Good for normal use like browsing and not recommended for gaming because of small screen size,overall a good product from apple.READ MORE"
4,Value-for-money,"USP:1. Compact mobile which i always wanted in iPhone models2. Kickass A13 bionic chip , one of the best energy efficient apple processor produced till date.3. Camera is awesome to take pics (only day time) 4K videos 30/60 fps.Downside:1. Battery drain very fast.(googled and made it battery efficient) now it last atleast 1.5 day with moderate usage.Note: i would not advice this compact super mobile for people who are always glued to social media and YouTube.This is for someone who w...READ MORE"
5,Excellent,"Mini Black BeastWho likes handy best option with solid device and super fast performanceBattery stands for 4 to 5 hrs.Over all satisfied as a first time iPhone userFavourites in this device speed,ui, camera portrait image features, mini device with solid build.READ MORE"
5,Great product,"Amazing Performance. If you are upgrading from an android, don't expect the battery life to be better. But if you upgrading from an Iphone 6, 7 or maybe 8, you will feel the difference. You can experience the speed with the A13 Bionic Chip. Camera Quality has improved. The best part is it's price. In this price you are getting a compact Iphone 11 Pro.If you are looking to own an Iphone, you should 100% go for this.READ MORE"
5,Great product,"Firstly you all need to understand there is a crowd in this Huge Market for whom the ONLY THING WHICH MATTERS IS COMPACT SIZE. And probably phone companies are unable to understand this consumer behaviour. This market was not catered by any other company except to an extent by Google Pixel. Please remember each and every consumer who buys this phone is buying Primarily for its compact size. The dimensions are amazing, which overrides any other shortfall of the device such as battery, Screen s...READ MORE"
5,Terrific,"I have been an android user since the beginning! I have used phones like poco f1 which had the flagship chips at their time but honestly speaking the performance on this device is just out of the competition! I was very skeptical by some bad reviews on internet, but to my very frank opinion it exceeded my expectations! Some things to keep in mind :*This phone has not so big display and only supports upto 720p videos on YouTube, so if you watch YouTube all day and love big screens it’s not th...READ MORE"
5,Great product,Best product but apple could have launched it in very less price.Screensjze comparatively smallBeterry performance satisfactory Camera extra ordinarily Sensors and apps way fast and results jn blink Buy if price around 25 maxREAD MORE
5,Mind-blowing purchase,"I have been using iphones for a long time iPhone 4s - iphone 5s - iphone 6s , So when time came to change, I had to chose between iphone11 and iphone SE2020.Now I chose SE2020 and I am happy with the purchase.Main reason for choosing SE2020 was the latest CPU and fingerprint scanner.I am not comfortable with Face ID .The Phone Size seems small but for someone used to iphone 6S, it seems the same !!Don't want to admit this but well, I would have loved to get iphone 11 but then 20k i...READ MORE"
5,Highly recommended,I had been eagerly waiting for iPhone SE 2 ever since its news and articles started floating around techsites around a year back. I was using the iPhone SE (previous gen) back then and it worked brilliantly for two years before its Battery health went below 80%.An android user will never understand why an iPhone user sticks to their ecosystem despite them being expensive. Pros of iPhone SE 20201. A13 bionic chip - makes the phone a beast2. Camera - has portrait mode. Does the job brilli...READ MORE
5,Excellent,"Here is my review about this phone but let me tell you first, what type of iPhone user i am ?I am not heavy user but my daily uses be like as follows.1. hotspot (approx 5 hrs)2. listen music (1hrs Max)3. WhatsApp (20min)4. Youtube (approx 2hrs)5. Apple Tv (approx 1 hrs)6. Safari (30 min) 7. Sudoku (1hr)I charge this iPhone at 9 pm at then charge at 11am. I hope you get an idea, whose this phone for.I am not gamer, so basically i don't have battery performance issues.Apart fro...READ MORE"
4,Delightful,Firstly i got this phone for 24.5k so i would say it was a good bargain for me to get my first iphone . Keeping this price in kind the performance of this phone is just awesome . I am not much of a person who consumes lot of video content for me its a device which does its jobs very nicely . Battery is bad for any average user but since i use it mostly for calls texts and some banking apps it serves the purpose. This phone is for people who dont much of their time on phone and want a compact ...READ MORE
5,Brilliant,"I was aware of that this is a fantastic phone except the battary life before purchase. But I have specific use case as follows 1. I use it as business phone with lots of phone calls during a day. 2. I do not have social media presence. Even the whatsapp is not installed. (I have whatsapp on second phone which I keep it at home and it works on home wifi). I only use imessage for close family members.3. It has all my business outlook email, calender, notes, Gmail is configured to inbuilt app...READ MORE"
5,Terrific purchase,"Fantastic phone, in a beautiful form factor, handy, ergonomic and power packed device. Please do not go by the reviews of ""PUBG chipmunks"", who are looking for a device for gaming purposes. This is the perfect phone for no non sense every day users, who would like to make calls,browse the internet, use mail clients and do social networking.READ MORE"
5,Classy product,It is a very good device. You will feel how premium is it whenever you hold in your hand. It is very nice to hold. And size is just perfect! Above all it has the best camera. See the attached picture which I clicked in the evening.You should go for the red one!READ MORE
3,Nice,"It's not the phone that has an issue, it's flipkart. I ordered this phone on 31st of July and promised date was 4th August. But I got the phone on 6th August. Doesn't sound like much of a delay but it becomes a lot when u have a flight coming close and flipkart says your product will be delivered before 10th August. Like I could see clearly the phone is close to me (has reached my nearest hub). Now coming to the phone the display could've been better considering the price, but it's not a bumm...READ MORE"
5,Fabulous!,"Was never a great birthday gift for spouse. Power pack device. A13 brings life to whole performance. Except screen size and camera, performance wise it's a comparable and affordable device in comparison with 11 pro. Camera too works way better than comparable 12MP devices.  Battery lasts full day for normal usage including couple hours of youtube videos. Great work Apple.READ MORE"
3,Fair,"Pros :-1. A-13 Bionic Chip....Beast in performance2. Best video camera phone under 50K3. Easy to hold, carry and one handed use4. RAM management is excellent5. Rear camera is good6. Output from speekers are too goodCons :-1. Worst battery performance...4 hours hardly on a single charge2. Still you get 5W charger in the box... While phone's cost around 42.5k...but phone does support 18w fast charging..3. No night mode available4. Design is too old5. Frot camera is not up to the ...READ MORE"
4,Really Nice,"Marking the return of the phone with great performance in a small form factor, this one does make it easy to love it.A well priced proposition with bang for the buck performance and the iOS level of confidence.The battery is only average but that can also be improved if you are a little more aware, than the commonwealth, of the system software customisations.All in all a good phone with a great performance and a decent battery life.READ MORE"
5,Highly recommended,"iPhone is well known for slim and super platform for durability and shock proof..Those who want compact small and handy device cn go for it.It is good for email surfing, browsing, couple of videos per day.Camera quality is not superb but good in day lightVideo is extraordinary i can sayPerformance speed is tremendousBattery approx 1800mah is equivalent to 4000mah of other brands.White color stand unique in crowd.. because black color become traditional for all mobile handsets..Can go...READ MORE"
4,Very Good,"Great performance....!!!!!As expected from the A13 Bionic. Battery life can be avg or good depending on personal use . Have to charge the phone at least twice a day . Best Single camera setup . It is a compact phone , not quite great for video content. Great buy for 31k .READ MORE"
5,Must buy!,Best camera phone Image processing is best Best display and battery life is also best Best processor Overall best phone U can look after images alsoREAD MORE
4,Worth the money,"This is my first iPhone. I would say that coming from Android, there are some times when I feel that it is restricted in certain ways and you just have to accept it. Coming to the phone itself, camera is amazing minus the low light photography part. Battery backup is ok ok. I bought 12W Apple charger separately which charges it pretty fast so I do not worry about battery being low. Also since I am mostly at home, it doesn’t matter so much. Display is ok. Its a nice display but a small one a...READ MORE"
5,Great product,13 MP Back Camera More Better than 64mp camera phone's and 7MP Front Camera Same as that.1845 Mah Batter then any other 5000 mah Smartphones Batterymost precious part The Bionic13 Chipset in this price range just AwesomeREAD MORE
5,Must buy!,"The iPhone se was good but battery could not survive a day, if u r a Android user then I would suggest Mi11x and if u want to try iPhone then u can, but battery life is very important and also have to buy a fast charger seperately can't count the flaws of this device as it is the cheapest iPhoneREAD MORE"
5,Fabulous!,"Best iPhone in this price range.It can do almost everything an iPhone 11 can do and will get long support for iOS updates.Battery life is very good very few people know how to optimise the iOS according to their needs for battery usage. So I get easily a day of use, many people say heavy usage consumes battery life that's true for any smartphone even iPhone 11.READ MORE"
4,Really Nice,"It's easy to hold, looks good but slippery one. Performance is good. Battery is below average. If you turn off mobile data and use wifi then battery goes little more time. Back camera good in day light only. Front camera just ok ok. Someone who only use for mail, chat then its ok. Better go for iphone 11.READ MORE"
4,Excellent Phone,"Camera- 4.5/5 (However if it had dedicated night mode i will give it 5 out of 5)Performance- 5/5 (A13 Bionic chip is powerful enough to handle any kind of task)Display- 4/5 (Super color accurate display, but if it have 800 nits of brightness then it will get 5)Battery- 2.5/5 (Battery is the weakest point of this phone. Although the standby time is great but in very light use i get 4.5 Hours of SOT)Software- 5/5 (Since it is a apple device so you will get ios updates for long period of tim...READ MORE"
5,Highly recommended,"After 2 days of usage!!It’s a beast!! May it be performance or camera or sound quality, it’s a total beast at its price. 🔥It degrades every mid tier mobile.Battery maybe a drawback for some, but according it’s an excellent daily drive mobile. Normal usage would give a nice battery life.Power bank is proffered to be kept in hand for some. Camera is exceptional👌🏽I don’t find any cons at all, to be honest.The display size is small, yeah. But it’s so cute and handy to use. And it’s les...READ MORE"
5,Classy product,"The best budget iPhone you can get. The camera: great for daylight images, only downside I would say is the lack of night sight, but yeah it does the task. Performance: I will certainly be joking if I said I was experiencing issues with the phone’s performance. It’s A13 for god’s sake. The best processor in the market right now and I feel this is the reason most of us are buying. This phone is gonna last you more than any android in the same price segment will ever do. And that includes One...READ MORE"
5,Terrific,The phone is working awesome high speed the only demerit is size if you are okay with the size then you can buy the phone without even reading anything amazing built quality thankyou apple and flipkart the battery is awesome and everything is fine with the phone no problem faced till nowREAD MORE
4,Good quality product,"iOS is always great for it's fluid and great performance, this phone is no different from that as A13 chip took it to next level.Cons: Battery could have been better due to increasing dependency on mobiles and apps in this digitized world.READ MORE"
5,Terrific,"If you don't know the benefits of the Apple ecosystem, this is the phone to introduce you to it and if you use it properly, you will never go backIt's (comparatively) reasonably priced. In fact given it's processor which is the same as one in iPhone Pro which costs more than a lakh plus Apples' updates thay go on for 5-6 years, it's probably better value than most ""cheaper"" phones out there.The camera is great and Touch ID in this age of mask wearing is perfect. Cons - battery isn't as ...READ MORE"
4,Nice product,"It’s a beast in performance, only thing that I didn’t like is it lacks night mode for low light photography. Battery backup is quite average only light to medium users can live with it, not meant for heavy users. It can handle each and every task very easily. Doesn’t break a sweat no matter what you throw at it, whether a heavy gameplay or exporting/rendering of heavy videos. Fits perfectly in pocket as well as in hand. I’ve been using it for more than 9 months. It is really a great device if...READ MORE"
5,Super!,"First of all thank u apple for making such good phone.Guys this phone is Powerhouse with best processor.Camera is too good in light, I mean best, but don’t expect great pics in night. Battery life is good according to size and display of phone, keep one fast charger with u and forget about battery issue because there is no issue with battery if u are not a hardcore gamer. It gives u full day with battery with moderate use. Charging in 30 minutes with 12 watt charger is 50 to 60%. I guess v...READ MORE"
